long1,long2,lat1,lat2
-96.76175400000001,-71.088713,32.819859,42.31367
-96.76175400000001,-122.41942,32.819859,37.77493
-96.76175400000001,-122.27275,32.819859,37.871590000000005
-96.76175400000001,-84.38798,32.819859,33.749
-96.76175400000001,-87.65005,32.819859,41.85003
-96.76175400000001,-84.38798,32.819859,33.749
-96.76175400000001,-71.05977,32.819859,42.35843
-96.76175400000001,-87.69006,32.819859,42.041140000000006
-96.76175400000001,-87.65005,32.819859,41.85003
-96.76175400000001,-75.16379,32.819859,39.952329999999996
-96.76175400000001,-71.05977,32.819859,42.35843
-96.76175400000001,-115.13722,32.819859,36.17497
-96.76175400000001,-75.16379,32.819859,39.952329999999996
-96.76175400000001,-95.446486,32.819859,29.838495
-96.76175400000001,-80.19366,32.819859,25.77427
-96.76175400000001,-71.05977,32.819859,42.35843
-96.76175400000001,-87.65005,32.819859,41.85003
-96.76175400000001,-122.67621000000001,32.819859,45.52345
-96.76175400000001,-71.05977,32.819859,42.35843
-96.76175400000001,-90.331882,32.819859,38.66471
-96.76175400000001,-122.2708,32.819859,37.80437
-96.76175400000001,-80.14338000000001,32.819859,26.12231
-96.76175400000001,-75.08462,32.819859,39.90095
-96.76175400000001,-115.13722,32.819859,36.17497
-96.76175400000001,-75.16379,32.819859,39.952329999999996
-96.76175400000001,-80.19366,32.819859,25.77427
-96.76175400000001,-87.65005,32.819859,41.85003
-96.76175400000001,-84.38798,32.819859,33.749
-96.76175400000001,-122.67621000000001,32.819859,45.52345
-96.76175400000001,-80.14338000000001,32.819859,26.12231
-96.76175400000001,-87.65005,32.819859,41.85003
-96.76175400000001,-71.05977,32.819859,42.35843
-96.76175400000001,-71.05977,32.819859,42.35843
-96.76175400000001,-93.04028100000001,32.819859,44.883849
-96.76175400000001,-122.2708,32.819859,37.80437
-96.76175400000001,-87.65005,32.819859,41.85003
-96.76175400000001,-117.92533999999999,32.819859,33.870290000000004
-96.76175400000001,-80.19366,32.819859,25.77427
-96.76175400000001,-81.367772,32.819859,28.501678000000002
-96.76175400000001,-71.05977,32.819859,42.35843
-96.76175400000001,-87.65005,32.819859,41.85003
-96.76175400000001,-84.43310600000001,32.819859,33.767194
-96.76175400000001,-122.41942,32.819859,37.77493
-96.76175400000001,-75.16379,32.819859,39.952329999999996
-96.76175400000001,-84.38798,32.819859,33.749
-96.76175400000001,-122.67621000000001,32.819859,45.52345
-96.76175400000001,-87.65005,32.819859,41.85003
-96.76175400000001,-157.799589,32.819859,21.319943
-96.76175400000001,-80.13005,32.819859,25.79065
-96.76175400000001,-122.33207,32.819859,47.60621
-96.76175400000001,-71.05977,32.819859,42.35843
-96.76175400000001,-80.19366,32.819859,25.77427
-96.76175400000001,-71.05977,32.819859,42.35843
-96.76175400000001,-84.38798,32.819859,33.749
-96.76175400000001,-80.19366,32.819859,25.77427
-96.76175400000001,-122.367377,32.819859,37.586113
-96.76175400000001,-122.41942,32.819859,37.77493
-96.76175400000001,-87.65005,32.819859,41.85003
-96.76175400000001,-83.04575,32.819859,42.33143
-96.76175400000001,-84.38798,32.819859,33.749
-96.76175400000001,-71.05977,32.819859,42.35843
-96.76175400000001,-122.435979,32.819859,37.770656
-96.76175400000001,-75.03073,32.819859,39.93484
-96.76175400000001,-122.33207,32.819859,47.60621
-96.76175400000001,-95.446486,32.819859,29.838495
-96.76175400000001,-75.16379,32.819859,39.952329999999996
-96.76175400000001,-87.65005,32.819859,41.85003
-96.76175400000001,-71.20459100000001,32.819859,42.505534999999995
-96.76175400000001,-84.38798,32.819859,33.749
-96.76175400000001,-84.54993,32.819859,33.9526
-96.76175400000001,-71.05977,32.819859,42.35843
-96.76175400000001,-71.05977,32.819859,42.35843
-96.76175400000001,-90.19789,32.819859,38.62727
