long1,long2,lat1,lat2,e
-96.76175400000001,-122.41942,32.819859,37.77493,1.0
-96.76175400000001,-84.43310600000001,32.819859,33.767194,1.0
-96.76175400000001,-71.05977,32.819859,42.35843,1.0
-96.76175400000001,-87.65005,32.819859,41.85003,0.9999999999966389
-96.76175400000001,-93.26384,32.819859,44.97997,1.0
-96.76175400000001,-80.19366,32.819859,25.77427,1.0
-96.76175400000001,-87.732013,32.819859,41.833584,1.0
-96.76175400000001,-84.38798,32.819859,33.749,1.0
-96.76175400000001,-87.65005,32.819859,41.85003,1.0
-96.76175400000001,-75.16379,32.819859,39.952329999999996,1.0
-96.76175400000001,-84.38798,32.819859,33.749,1.0
-96.76175400000001,-83.04575,32.819859,42.33143,0.269187023305551
-96.76175400000001,-75.16379,32.819859,39.952329999999996,1.0
-96.76175400000001,-122.33207,32.819859,47.60621,1.0
-96.76175400000001,-115.13722,32.819859,36.17497,1.0
-96.76175400000001,-93.26384,32.819859,44.97997,1.0
-96.76175400000001,-96.76175400000001,32.819859,32.819859,1.0
-96.76175400000001,-122.27275,32.819859,37.871590000000005,1.0
-96.76175400000001,-80.19366,32.819859,25.77427,0.9999999999806938
-96.76175400000001,-93.262047,32.819859,44.970611,1.0
-96.76175400000001,-80.19366,32.819859,25.77427,1.0
-96.76175400000001,-122.28525,32.819859,37.83132,1.0
-96.76175400000001,-104.9847,32.819859,39.73915,1.0
-96.76175400000001,-71.05977,32.819859,42.35843,1.0
-96.76175400000001,-95.36327,32.819859,29.763279999999998,1.0
-96.76175400000001,-122.2708,32.819859,37.80437,1.0
-96.76175400000001,-84.38798,32.819859,33.749,1.0
-96.76175400000001,-75.08462,32.819859,39.90095,1.0
-96.76175400000001,-122.330602,32.819859,47.614816999999995,1.0
-96.76175400000001,-75.16379,32.819859,39.952329999999996,1.0
-96.76175400000001,-115.13722,32.819859,36.17497,1.0
-96.76175400000001,-71.10561,32.819859,42.3751,1.0
-96.76175400000001,-87.65005,32.819859,41.85003,1.0
-96.76175400000001,-71.088713,32.819859,42.31367,1.0
-96.76175400000001,-71.05977,32.819859,42.35843,1.0
-96.76175400000001,-95.36327,32.819859,29.763279999999998,1.0
-96.76175400000001,-81.37924,32.819859,28.53834,1.0
-96.76175400000001,-87.65005,32.819859,41.85003,1.0
-96.76175400000001,-75.117998,32.819859,40.004865,1.0
-96.76175400000001,-96.76175400000001,32.819859,32.819859,1.0
-96.76175400000001,-93.04028100000001,32.819859,44.883849,1.0
-96.76175400000001,-83.04575,32.819859,42.33143,1.0
-96.76175400000001,-122.2708,32.819859,37.80437,1.0
-96.76175400000001,-122.27275,32.819859,37.871590000000005,1.0
-96.76175400000001,-71.088713,32.819859,42.31367,1.0
-96.76175400000001,-75.152119,32.819859,40.10233,1.0
-96.76175400000001,-87.65005,32.819859,41.85003,1.0
-96.76175400000001,-95.36327,32.819859,29.763279999999998,1.0
-96.76175400000001,-122.630909,32.819859,45.536402,1.0
-96.76175400000001,-87.65005,32.819859,41.85003,1.0
-96.76175400000001,-87.65005,32.819859,41.85003,1.0
-96.76175400000001,-75.16379,32.819859,39.952329999999996,1.0
-96.76175400000001,-75.16379,32.819859,39.952329999999996,1.0
-96.76175400000001,-87.65005,32.819859,41.85003,0.9999999999932707
-96.76175400000001,-87.65005,32.819859,41.85003,1.0
-96.76175400000001,-80.13005,32.819859,25.79065,0.999999999998347
-96.76175400000001,-71.05977,32.819859,42.35843,1.0
-96.76175400000001,-71.05977,32.819859,42.35843,1.0
-96.76175400000001,-71.05977,32.819859,42.35843,1.0
-96.76175400000001,-83.04575,32.819859,42.33143,1.0
-96.76175400000001,-87.65005,32.819859,41.85003,1.0
-96.76175400000001,-81.37924,32.819859,28.53834,1.0
-96.76175400000001,-75.03073,32.819859,39.93484,1.0
-96.76175400000001,-71.05977,32.819859,42.35843,1.0
-96.76175400000001,-75.16379,32.819859,39.952329999999996,1.0
-96.76175400000001,-87.65005,32.819859,41.85003,1.0
-96.76175400000001,-84.38798,32.819859,33.749,1.0
-96.76175400000001,-71.20459100000001,32.819859,42.505534999999995,1.0
-96.76175400000001,-80.23227,32.819859,25.98731,1.0
-96.76175400000001,-87.732013,32.819859,41.833584,1.0
-96.76175400000001,-83.04575,32.819859,42.33143,1.0
-96.76175400000001,-83.01654,32.819859,42.30008,1.0
-96.76175400000001,-84.54993,32.819859,33.9526,1.0
-96.76175400000001,-122.33207,32.819859,47.60621,1.0
-96.76175400000001,-71.05977,32.819859,42.35843,1.0
-96.76175400000001,-90.19789,32.819859,38.62727,1.0
-96.76175400000001,-71.0995,32.819859,42.3876,1.0
-96.76175400000001,-83.04575,32.819859,42.33143,1.0
-96.76175400000001,-122.2708,32.819859,37.80437,1.0
-96.76175400000001,-80.19366,32.819859,25.77427,1.0
-122.41942,-122.41942,37.77493,37.77493,0.999999999617704
-122.41942,-84.43310600000001,37.77493,33.767194,0.9999999998391235
-122.41942,-71.05977,37.77493,42.35843,0.9999999998390298
-122.41942,-87.65005,37.77493,41.85003,1.0
-122.41942,-93.26384,37.77493,44.97997,0.9999999996109188
-122.41942,-80.19366,37.77493,25.77427,0.9930866803985539
-122.41942,-87.732013,37.77493,41.833584,0.999999999610898
-122.41942,-84.38798,37.77493,33.749,0.9999999996176451
-122.41942,-87.65005,37.77493,41.85003,0.9999999997748684
-122.41942,-75.16379,37.77493,39.952329999999996,0.999999999996241
-122.41942,-84.38798,37.77493,33.749,0.9999999996176909
-122.41942,-83.04575,37.77493,42.33143,0.3098533225320746
-122.41942,-75.16379,37.77493,39.952329999999996,0.9999999998116442
-122.41942,-122.33207,37.77493,47.60621,0.9999999996109198
-122.41942,-115.13722,37.77493,36.17497,0.9930866803985546
-122.41942,-93.26384,37.77493,44.97997,0.9999999996109036
-122.41942,-96.76175400000001,37.77493,32.819859,0.9999999996176602
-122.41942,-122.27275,37.77493,37.871590000000005,0.9999999998106225
-122.41942,-80.19366,37.77493,25.77427,1.0
-122.41942,-93.262047,37.77493,44.970611,0.9930866803984179
-122.41942,-80.19366,37.77493,25.77427,0.9999999997748803
-122.41942,-122.28525,37.77493,37.83132,0.9999999996664869
-122.41942,-104.9847,37.77493,39.73915,0.9999999996108955
-122.41942,-71.05977,37.77493,42.35843,0.9999999996109219
-122.41942,-95.36327,37.77493,29.763279999999998,0.9999999996109163
-122.41942,-122.2708,37.77493,37.80437,0.9999999996176422
-122.41942,-84.38798,37.77493,33.749,0.9930866803985542
-122.41942,-75.08462,37.77493,39.90095,0.9999999996176551
-122.41942,-122.330602,37.77493,47.614816999999995,0.9930866803984187
-122.41942,-75.16379,37.77493,39.952329999999996,0.9999999996176239
-122.41942,-115.13722,37.77493,36.17497,0.9999999996176459
-122.41942,-71.10561,37.77493,42.3751,0.9999999996176514
-122.41942,-87.65005,37.77493,41.85003,0.9999999997748938
-122.41942,-71.088713,37.77493,42.31367,0.999999999803844
-122.41942,-71.05977,37.77493,42.35843,0.9930866803984154
-122.41942,-95.36327,37.77493,29.763279999999998,0.9999999996176168
-122.41942,-81.37924,37.77493,28.53834,0.9999999996109007
-122.41942,-87.65005,37.77493,41.85003,0.9999999996108954
-122.41942,-75.117998,37.77493,40.004865,0.9999999996109008
-122.41942,-96.76175400000001,37.77493,32.819859,0.8392660086272073
