long1,long2,lat1,lat2,e
-96.76175400000001,-71.088713,32.819859,42.31367,1.0
-96.76175400000001,-75.16379,32.819859,39.952329999999996,1.0
-96.76175400000001,-122.41942,32.819859,37.77493,1.0
-96.76175400000001,-75.03985,32.819859,39.931071,1.0
-96.76175400000001,-122.27275,32.819859,37.871590000000005,1.0
-96.76175400000001,-84.38798,32.819859,33.749,1.0
-96.76175400000001,-84.43310600000001,32.819859,33.767194,1.0
-96.76175400000001,-87.65005,32.819859,41.85003,0.9999999999823374
-96.76175400000001,-90.19789,32.819859,38.62727,1.0
-96.76175400000001,-84.38798,32.819859,33.749,1.0
-96.76175400000001,-71.05977,32.819859,42.35843,1.0
-96.76175400000001,-87.69006,32.819859,42.041140000000006,1.0
-96.76175400000001,-87.65005,32.819859,41.85003,1.0
-96.76175400000001,-75.16379,32.819859,39.952329999999996,1.0
-96.76175400000001,-75.16379,32.819859,39.952329999999996,1.0
-96.76175400000001,-71.05977,32.819859,42.35843,1.0
-96.76175400000001,-87.65005,32.819859,41.85003,1.0
-96.76175400000001,-71.06616,32.819859,42.24954,1.0
-96.76175400000001,-115.13722,32.819859,36.17497,1.0
-96.76175400000001,-84.43310600000001,32.819859,33.767194,0.9999999999725592
-96.76175400000001,-95.36327,32.819859,29.763279999999998,1.0
-96.76175400000001,-75.16379,32.819859,39.952329999999996,0.6193056304403723
-96.76175400000001,-75.16379,32.819859,39.952329999999996,1.0
-96.76175400000001,-95.446486,32.819859,29.838495,1.0
-96.76175400000001,-122.330602,32.819859,47.614816999999995,0.6839744988109642
-96.76175400000001,-80.19366,32.819859,25.77427,0.9999999999498518
-96.76175400000001,-93.262047,32.819859,44.970611,1.0
-96.76175400000001,-71.05977,32.819859,42.35843,0.9999999999998258
-96.76175400000001,-87.65005,32.819859,41.85003,1.0
-96.76175400000001,-87.732013,32.819859,41.833584,1.0
-96.76175400000001,-122.67621000000001,32.819859,45.52345,1.0
-96.76175400000001,-122.33207,32.819859,47.60621,1.0
-96.76175400000001,-71.05977,32.819859,42.35843,1.0
-96.76175400000001,-90.331882,32.819859,38.66471,1.0
-96.76175400000001,-122.2708,32.819859,37.80437,1.0
