user_id,FOLLOWERS_COUNT,FRIENDS_COUNT,STATUSES_COUNT,lat,lon,k_0_d_0,k_0_d_1,k_0_d_2,k_0_d_3,k_0_d_4,k_0_d_5,k_0_d_6,k_0_d_7,k_0_d_8,k_0_d_9,k_0_d_10,k_0_d_11,k_0_d_12,k_0_d_13,k_0_d_14,k_0_d_15,k_0_d_16,k_0_d_17,k_0_d_18,k_0_d_19,k_0_d_20,k_0_d_21,k_0_d_22,k_0_d_23,k_0_d_24,k_0_d_25,k_0_d_26,k_0_d_27,k_0_d_28,k_0_d_29,k_0_d_30,k_0_d_31,k_1_d_0,k_1_d_1,k_1_d_2,k_1_d_3,k_1_d_4,k_1_d_5,k_1_d_6,k_1_d_7,k_1_d_8,k_1_d_9,k_1_d_10,k_1_d_11,k_1_d_12,k_1_d_13,k_1_d_14,k_1_d_15,k_1_d_16,k_1_d_17,k_1_d_18,k_1_d_19,k_1_d_20,k_1_d_21,k_1_d_22,k_1_d_23,k_1_d_24,k_1_d_25,k_1_d_26,k_1_d_27,k_1_d_28,k_1_d_29,k_1_d_30,k_1_d_31,k_2_d_0,k_2_d_1,k_2_d_2,k_2_d_3,k_2_d_4,k_2_d_5,k_2_d_6,k_2_d_7,k_2_d_8,k_2_d_9,k_2_d_10,k_2_d_11,k_2_d_12,k_2_d_13,k_2_d_14,k_2_d_15,k_2_d_16,k_2_d_17,k_2_d_18,k_2_d_19,k_2_d_20,k_2_d_21,k_2_d_22,k_2_d_23,k_2_d_24,k_2_d_25,k_2_d_26,k_2_d_27,k_2_d_28,k_2_d_29,k_2_d_30,k_2_d_31
BathysphereHat,3343,1090,125017,33.749,-84.38798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Battlebugs,31,50,279,33.749,-84.38798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Be100Radio,7268,792,8861,33.749,-84.38798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
BeWellGSU,183,218,342,33.7671944,-84.433106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beachee,188,816,1315,33.749,-84.38798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BearMaxCowley,36,59,249,33.81677,-84.31326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BeatAuctionATL,4913,3980,26070,33.749,-84.38798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BeautyStartsNU,732,479,8832,33.7671944,-84.433106,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BeckiJayne,385,842,15493,33.749,-84.38798,0,0,0,1,2,2,2,3,3,3,3,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,3,3,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BeckyBoydVocals,4812,4613,1200,33.749,-84.38798,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BeeForGeorgia,425,474,199,33.749,-84.38798,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BeginnHumble,9,13,9,33.749,-84.38798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Behindthevow,6,30,29,33.749,-84.38798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
